type,size,runtime
insertionsort,97866,7864869
insertionsort,77988,4869224
insertionsort,24959,509396
insertionsort,16769,217963
insertionsort,66584,3634222
insertionsort,43463,1477687
insertionsort,23859,470276
insertionsort,54442,2414322
insertionsort,73512,4470682
insertionsort,43033,1537655
insertionsort,69723,4046122
insertionsort,62697,3264229
insertionsort,8141,54681
insertionsort,13032,143201
insertionsort,49469,2010928
insertionsort,65153,3553913
insertionsort,62755,3218060
insertionsort,62318,3232566
insertionsort,29036,699508
insertionsort,84927,5877168
insertionsort,12426,123724
insertionsort,65221,3503420
insertionsort,43276,1534545
insertionsort,49264,2028985
insertionsort,17196,243055
insertionsort,75250,4588427
insertionsort,80671,5416251
insertionsort,28397,671787
insertionsort,42741,1445800
insertionsort,21871,399018
insertionsort,12004,121184
insertionsort,11913,117485
insertionsort,91868,6984605
insertionsort,91118,6896010
insertionsort,13501,151956
insertionsort,93838,7125921
insertionsort,9947,85022
insertionsort,79684,5180243
insertionsort,31936,822644
insertionsort,67433,3737526
insertionsort,60102,2880479
insertionsort,25658,496970
insertionsort,13745,149563
insertionsort,71275,4192673
insertionsort,13160,139497
insertionsort,96541,7716616
insertionsort,40191,1325453
insertionsort,63458,3344022
insertionsort,65689,3615376
insertionsort,16797,227506
insertionsort,48581,1950762
insertionsort,66048,3630567
insertionsort,69360,4017447
insertionsort,59799,2976990
insertionsort,41634,1373226
insertionsort,46003,1775310
insertionsort,43902,1613861
insertionsort,86414,6213675
insertionsort,9482,72835
insertionsort,45152,1679418
insertionsort,39732,1305509
insertionsort,19789,308300
insertionsort,32531,874628
insertionsort,22731,408358
insertionsort,5967,28087
insertionsort,17072,244702
insertionsort,97355,7895135
insertionsort,96076,7670354
insertionsort,80147,5280763
insertionsort,54652,2455574
insertionsort,44625,1669631
insertionsort,79579,5278356
insertionsort,51158,2126617
insertionsort,54937,2456227
insertionsort,21500,374189
insertionsort,61360,3048989
insertionsort,91339,6862057
insertionsort,78352,5108439
insertionsort,46890,1811006
insertionsort,53361,2364965
insertionsort,76595,4900126
insertionsort,82832,5726695
insertionsort,23997,469834
insertionsort,41548,1432732
insertionsort,24599,471910
insertionsort,81021,5410259
insertionsort,7346,43751
insertionsort,91903,7058959
insertionsort,39323,1298741
insertionsort,34001,938456
insertionsort,33681,924862
insertionsort,30321,727829
insertionsort,29832,714286
insertionsort,82169,5616303
insertionsort,18930,277656
insertionsort,88938,6596584
insertionsort,82206,5634508
insertionsort,57764,2754260
insertionsort,37650,1170109
insertionsort,70087,4049267
insertionsort,97051,7862989
insertionsort,74462,4553485
insertionsort,69013,3899848
insertionsort,48220,1950092
insertionsort,20836,354776
insertionsort,36911,1119388
insertionsort,59181,2901301
insertionsort,84819,5949320
insertionsort,35749,1062858
insertionsort,49760,2051718
insertionsort,38793,1223198
insertionsort,93346,7179304
insertionsort,66016,3434208
insertionsort,16625,227013
insertionsort,79146,5209929
insertionsort,21938,385600
insertionsort,5988,29328
insertionsort,27608,638453
insertionsort,21150,378161
insertionsort,53086,2312466
insertionsort,89409,6667901
insertionsort,65759,3598862
insertionsort,46004,1760172
insertionsort,25290,512886
insertionsort,26305,582434
insertionsort,43968,1613695
insertionsort,94823,7449581
insertionsort,85277,6011583
insertionsort,79795,5326128
insertionsort,74777,4648149
insertionsort,80793,5420499
insertionsort,90693,6872118
insertionsort,28686,657990
insertionsort,75830,4772933
insertionsort,26655,593839
insertionsort,78677,5127347
insertionsort,96260,7150749
insertionsort,72316,3661413
insertionsort,62776,3257231
insertionsort,72556,4054566
insertionsort,39366,1269512
insertionsort,33020,909218
insertionsort,64621,3459020
insertionsort,63381,3337611
insertionsort,57746,2602870
insertionsort,42440,1497153
insertionsort,84447,4896303
insertionsort,43385,1542987
insertionsort,81181,5179297
insertionsort,92520,6874514
insertionsort,20870,343649
insertionsort,76847,4739881
insertionsort,68513,3806134
insertionsort,16349,212529
insertionsort,54589,2452029
insertionsort,15668,200960
insertionsort,55505,2445288
insertionsort,78887,5050477
insertionsort,42945,1522193
insertionsort,57907,2711551
insertionsort,18112,270142
insertionsort,16579,216988
insertionsort,30219,693854
insertionsort,95295,7499461
insertionsort,96851,7634855
insertionsort,20356,330938
insertionsort,33573,933435
insertionsort,69480,3970802
insertionsort,91767,6972554
insertionsort,30029,730316
insertionsort,47418,1860426
insertionsort,33353,916466
insertionsort,65446,3526543
insertionsort,8972,63849
insertionsort,17096,233336
insertionsort,22873,432785
insertionsort,98640,8064751
insertionsort,96179,7632975
insertionsort,49351,2018935
insertionsort,37535,1143551
insertionsort,40121,1337235
insertionsort,66479,3605024
insertionsort,16470,219624
insertionsort,44895,1666997
insertionsort,14764,180327
insertionsort,15684,195985
insertionsort,23479,437091
insertionsort,75129,4623296
insertionsort,20248,340919
insertionsort,16217,211988
insertionsort,98865,8088958
insertionsort,30718,772529
insertionsort,61377,3093871
insertionsort,24788,509737
insertionsort,71805,4232803
insertionsort,30138,729549
insertionsort,58323,2780130
insertionsort,19399,315015
insertionsort,60694,3046039
insertionsort,82208,5574018
insertionsort,15558,194661
insertionsort,45221,1667395
insertionsort,82121,5564134
insertionsort,74021,4528221
insertionsort,89644,6518828
insertionsort,21309,382160
insertionsort,67593,3782035
insertionsort,15408,198776
insertionsort,51808,2189846
insertionsort,81902,5478425
insertionsort,13903,159268
insertionsort,8926,64491
insertionsort,95013,7459315
insertionsort,52810,2309074
insertionsort,68851,3910530
insertionsort,62104,3216966
insertionsort,49961,2085315
insertionsort,44650,1664817
insertionsort,86157,6137626
insertionsort,43312,1565989
insertionsort,88290,6502513
insertionsort,62745,3235328
insertionsort,94670,7438998
insertionsort,8210,54060
insertionsort,31006,793859
insertionsort,29551,726645
insertionsort,85395,5830433
insertionsort,90960,6839871
insertionsort,56503,2564345
insertionsort,92867,7131599
insertionsort,24553,505120
insertionsort,59181,2850053
insertionsort,64116,3415958
insertionsort,58814,2826897
insertionsort,33219,908992
insertionsort,96746,7777866
insertionsort,25554,546403
insertionsort,88587,6596832
insertionsort,35958,1038649
insertionsort,15184,175785
insertionsort,25820,540559
insertionsort,51995,2181485
insertionsort,77988,4923200
insertionsort,38627,1237787
insertionsort,95044,7513845
insertionsort,10532,94333
insertionsort,79513,5271709
insertionsort,44317,1573622
insertionsort,37613,1173316
insertionsort,5422,23269
insertionsort,18703,289545
insertionsort,81657,5526630
insertionsort,36316,1089381
insertionsort,87384,6183802
insertionsort,37141,1119855
insertionsort,67825,3814236
insertionsort,29543,722341
insertionsort,45760,1747512
insertionsort,51275,2202491
insertionsort,34522,994709
insertionsort,93749,7309079
insertionsort,57170,2701949
insertionsort,97965,7984488
insertionsort,76324,4701140
insertionsort,28348,613047
insertionsort,86756,6233837
insertionsort,5420,24906
insertionsort,39659,1328363
insertionsort,47167,1840875
insertionsort,11463,109743
insertionsort,61144,3119825
insertionsort,58512,2879228
insertionsort,84302,5805239
insertionsort,41370,1419369
insertionsort,16813,226060
insertionsort,28087,653338
insertionsort,33633,921824
insertionsort,97563,7967104
insertionsort,89581,6701802
insertionsort,60656,3040309
insertionsort,94907,7353744
insertionsort,45035,1681198
insertionsort,58795,2862387
insertionsort,78732,5170554
insertionsort,72333,4394304
insertionsort,31529,791501
insertionsort,19425,316078
insertionsort,23880,477441
insertionsort,19847,332859
insertionsort,49643,2061150
insertionsort,84527,5925260
insertionsort,11593,91962
insertionsort,63352,3247206
insertionsort,59124,2812860
insertionsort,39491,1287540
insertionsort,55170,2516636
insertionsort,88673,6615467
insertionsort,96777,7918009
insertionsort,68690,3985801
insertionsort,13892,162707
insertionsort,98417,8087694
insertionsort,19224,306606
insertionsort,75081,4673393
insertionsort,14354,172572
insertionsort,68969,3925253
insertionsort,82121,5603480
insertionsort,39228,1256069
insertionsort,83817,5806413
insertionsort,22632,420328
insertionsort,7550,45916
insertionsort,90943,6847327
insertionsort,59792,2943898
insertionsort,48465,1943705
insertionsort,75685,4793026
insertionsort,48522,1894846
insertionsort,43719,1602704
insertionsort,53930,2430779
insertionsort,59585,2975305
insertionsort,20736,346696
insertionsort,34088,979200
insertionsort,62636,3263900
insertionsort,74440,4601597
insertionsort,48478,1963843
insertionsort,41274,1385790
insertionsort,13404,145931
insertionsort,9071,65957
insertionsort,82318,5565633
insertionsort,88028,6385592
insertionsort,49847,2086612
insertionsort,93995,7314087
insertionsort,66336,3062255
insertionsort,46208,1371338
insertionsort,52729,2294597
insertionsort,20530,338609
insertionsort,37220,1119208
insertionsort,13112,143833
insertionsort,47176,1789161
insertionsort,41188,1384409
insertionsort,52669,1904382
insertionsort,60072,2264948
insertionsort,82096,5573112
insertionsort,86419,5882890
insertionsort,12305,128515
insertionsort,24694,494669
insertionsort,21631,399256
insertionsort,55784,2568365
insertionsort,32785,657770
insertionsort,91731,6533578
insertionsort,31432,715990
insertionsort,27755,589649
insertionsort,6927,34708
insertionsort,73345,4226411
insertionsort,17022,222816
insertionsort,15043,179207
insertionsort,48057,1849472
insertionsort,56881,2584756
insertionsort,99748,8067462
insertionsort,35081,1009229
insertionsort,79065,5073593
insertionsort,29364,673332
insertionsort,56522,2538163
insertionsort,72288,4313402
insertionsort,50878,2117114
insertionsort,40266,1313367
insertionsort,35125,1015942
insertionsort,98052,7887396
insertionsort,58341,2763998
insertionsort,13445,141678
